"PC","Standard_deviations","Proportion_of_explained_variance","Cumulative_proportion_of_explained_variance"
"PC430",1.29070227728757,0.0891788895861051,98.7227792591274
"PC431",1.28299154360563,0.0886461294912716,98.8119581487135
"PC432",1.28183870827882,0.0885664762853156,98.9006042782048
"PC433",1.2721084703899,0.0878941819649194,98.9891707544901
"PC434",1.2562049963943,0.0867953583427368,99.077064936455
"PC435",1.24602524826024,0.0860920058726614,99.1638602947977
"PC436",1.22967449562267,0.0849622782896441,99.2499523006704
"PC437",1.21480843314984,0.0839351328610085,99.33491457896
"PC438",1.20758020617505,0.0834357107505572,99.418849711821
"PC439",1.19618627428337,0.0826484663085191,99.5022854225716
"PC440",1.15576144357168,0.0798553810416748,99.5849338888801
"PC441",1.11952663367144,0.0773517981720003,99.6647892699218
"PC442",1.10589021741821,0.0764096130679709,99.7421410680938
"PC443",1.06366588366566,0.0734921941838276,99.8185506811618
"PC444",0.929094732238355,0.0641942282115116,99.8920428753456
"PC445",0.63338835414602,0.0437628964428702,99.9562371035571
"PC446",2.52187999749158e-13,1.7424503063428e-14,100
